col1,col2,price,tex1,tex2,tex3
1,256,234,sdf,fg,rtfd
6,34,67,sdf,rfv,tr
11,-188,-100,rtuy,sdrter,sdf
16,-410,-267,sdfthis is ,sfds,sdf
21,-632,-434,fh,hfd,ytr
26,-854,-601,gdgdfgert,fddgdfgdfg,hty
31,-1076,-768,sdf,fg,rtfd
36,-1298,-935,sdf,rfv,tr
41,-1520,-1102,rtuy,sdrter,sdf
46,-1742,-1269,sdfthis is ,sfds,sdf
51,-1964,-1436,fh,hfd,ytr
56,-2186,-1603,gdgdfgert,fddgdfgdfg,hty
61,-2408,-1770,sdf,fg,rtfd
66,-2630,-1937,sdf,rfv,tr
71,-2852,-2104,rtuy,sdrter,sdf
76,-3074,-2271,sdfthis is ,sfds,sdf
81,-3296,-2438,fh,hfd,ytr
86,-3518,-2605,gdgdfgert,fddgdfgdfg,hty
91,-3740,-2772,sdf,fg,rtfd
96,-3962,-2939,sdf,rfv,tr
101,-4184,-3106,rtuy,sdrter,sdf
106,-4406,-3273,sdfthis is ,sfds,sdf
111,-4628,-3440,fh,hfd,ytr
116,-4850,-3607,gdgdfgert,fddgdfgdfg,hty
121,-5072,-3774,sdf,fg,rtfd
126,-5294,-3941,sdf,rfv,tr
131,-5516,-4108,rtuy,sdrter,sdf
136,-5738,-4275,sdfthis is ,sfds,sdf
141,-5960,-4442,fh,hfd,ytr
146,-6182,-4609,gdgdfgert,fddgdfgdfg,hty
151,-6404,-4776,sdf,fg,rtfd
156,-6626,-4943,sdf,rfv,tr
161,-6848,-5110,rtuy,sdrter,sdf
166,-7070,-5277,sdfthis is ,sfds,sdf
171,-7292,-5444,fh,hfd,ytr
176,-7514,-5611,gdgdfgert,fddgdfgdfg,hty
181,-7736,-5778,sdf,fg,rtfd
186,-7958,-5945,sdf,rfv,tr
191,-8180,-6112,rtuy,sdrter,sdf
196,-8402,-6279,sdfthis is ,sfds,sdf
201,-8624,-6446,fh,hfd,ytr
206,-8846,-6613,gdgdfgert,fddgdfgdfg,hty
211,-9068,-6780,sdf,fg,rtfd
216,-9290,-6947,sdf,rfv,tr
221,-9512,-7114,rtuy,sdrter,sdf
226,-9734,-7281,sdfthis is ,sfds,sdf
231,-9956,-7448,fh,hfd,ytr
236,-10178,-7615,gdgdfgert,fddgdfgdfg,hty
241,-10400,-7782,sdf,fg,rtfd
246,-10622,-7949,sdf,rfv,tr
251,-10844,-8116,rtuy,sdrter,sdf
256,-11066,-8283,sdfthis is ,sfds,sdf
261,-11288,-8450,fh,hfd,ytr
266,-11510,-8617,gdgdfgert,fddgdfgdfg,hty
271,-11732,-8784,sdf,fg,rtfd
276,-11954,-8951,sdf,rfv,tr
281,-12176,-9118,rtuy,sdrter,sdf
286,-12398,-9285,sdfthis is ,sfds,sdf
291,-12620,-9452,fh,hfd,ytr
296,-12842,-9619,gdgdfgert,fddgdfgdfg,hty
301,-13064,-9786,sdf,fg,rtfd
306,-13286,-9953,sdf,rfv,tr
311,-13508,-10120,rtuy,sdrter,sdf
316,-13730,-10287,sdfthis is ,sfds,sdf
321,-13952,-10454,fh,hfd,ytr
326,-14174,-10621,gdgdfgert,fddgdfgdfg,hty
331,-14396,-10788,sdf,fg,rtfd
336,-14618,-10955,sdf,rfv,tr
341,-14840,-11122,rtuy,sdrter,sdf
346,-15062,-11289,sdfthis is ,sfds,sdf
351,-15284,-11456,fh,hfd,ytr
356,-15506,-11623,gdgdfgert,fddgdfgdfg,hty
361,-15728,-11790,sdf,fg,rtfd
366,-15950,-11957,sdf,rfv,tr
371,-16172,-12124,rtuy,sdrter,sdf
376,-16394,-12291,sdfthis is ,sfds,sdf
381,-16616,-12458,fh,hfd,ytr
386,-16838,-12625,gdgdfgert,fddgdfgdfg,hty
391,-17060,-12792,sdf,fg,rtfd
396,-17282,-12959,sdf,rfv,tr
401,-17504,-13126,rtuy,sdrter,sdf
406,-17726,-13293,sdfthis is ,sfds,sdf
411,-17948,-13460,fh,hfd,ytr
416,-18170,-13627,gdgdfgert,fddgdfgdfg,hty
421,-18392,-13794,sdf,fg,rtfd
426,-18614,-13961,sdf,rfv,tr
431,-18836,-14128,rtuy,sdrter,sdf
436,-19058,-14295,sdfthis is ,sfds,sdf
441,-19280,-14462,fh,hfd,ytr
446,-19502,-14629,gdgdfgert,fddgdfgdfg,hty
451,-19724,-14796,sdf,fg,rtfd
456,-19946,-14963,sdf,rfv,tr
461,-20168,-15130,rtuy,sdrter,sdf
466,-20390,-15297,sdfthis is ,sfds,sdf
471,-20612,-15464,fh,hfd,ytr
476,-20834,-15631,gdgdfgert,fddgdfgdfg,hty
481,-21056,-15798,sdf,fg,rtfd
486,-21278,-15965,sdf,rfv,tr
491,-21500,-16132,rtuy,sdrter,sdf
496,-21722,-16299,sdfthis is ,sfds,sdf
501,-21944,-16466,fh,hfd,ytr
506,-22166,-16633,gdgdfgert,fddgdfgdfg,hty
511,-22388,-16800,sdf,fg,rtfd
516,-22610,-16967,sdf,rfv,tr
521,-22832,-17134,rtuy,sdrter,sdf
526,-23054,-17301,sdfthis is ,sfds,sdf
531,-23276,-17468,fh,hfd,ytr
536,-23498,-17635,gdgdfgert,fddgdfgdfg,hty
541,-23720,-17802,sdf,fg,rtfd
546,-23942,-17969,sdf,rfv,tr
551,-24164,-18136,rtuy,sdrter,sdf
556,-24386,-18303,sdfthis is ,sfds,sdf
561,-24608,-18470,fh,hfd,ytr
566,-24830,-18637,gdgdfgert,fddgdfgdfg,hty
571,-25052,-18804,sdf,fg,rtfd
576,-25274,-18971,sdf,rfv,tr
581,-25496,-19138,rtuy,sdrter,sdf
586,-25718,-19305,sdfthis is ,sfds,sdf
591,-25940,-19472,fh,hfd,ytr
596,-26162,-19639,gdgdfgert,fddgdfgdfg,hty
601,-26384,-19806,sdf,fg,rtfd
606,-26606,-19973,sdf,rfv,tr
611,-26828,-20140,rtuy,sdrter,sdf
616,-27050,-20307,sdfthis is ,sfds,sdf
621,-27272,-20474,fh,hfd,ytr
626,-27494,-20641,gdgdfgert,fddgdfgdfg,hty
631,-27716,-20808,sdf,fg,rtfd
636,-27938,-20975,sdf,rfv,tr
641,-28160,-21142,rtuy,sdrter,sdf
646,-28382,-21309,sdfthis is ,sfds,sdf
651,-28604,-21476,fh,hfd,ytr
656,-28826,-21643,gdgdfgert,fddgdfgdfg,hty
661,-29048,-21810,sdf,fg,rtfd
666,-29270,-21977,sdf,rfv,tr
671,-29492,-22144,rtuy,sdrter,sdf
676,-29714,-22311,sdfthis is ,sfds,sdf
681,-29936,-22478,fh,hfd,ytr
686,-30158,-22645,gdgdfgert,fddgdfgdfg,hty
691,-30380,-22812,sdf,fg,rtfd
696,-30602,-22979,sdf,rfv,tr
701,-30824,-23146,rtuy,sdrter,sdf
706,-31046,-23313,sdfthis is ,sfds,sdf
711,-31268,-23480,fh,hfd,ytr
716,-31490,-23647,gdgdfgert,fddgdfgdfg,hty
721,-31712,-23814,sdf,fg,rtfd
726,-31934,-23981,sdf,rfv,tr
731,-32156,-24148,rtuy,sdrter,sdf
736,-32378,-24315,sdfthis is ,sfds,sdf
741,-32600,-24482,fh,hfd,ytr
746,-32822,-24649,gdgdfgert,fddgdfgdfg,hty
751,-33044,-24816,sdf,fg,rtfd
756,-33266,-24983,sdf,rfv,tr
761,-33488,-25150,rtuy,sdrter,sdf
766,-33710,-25317,sdfthis is ,sfds,sdf
771,-33932,-25484,fh,hfd,ytr
776,-34154,-25651,gdgdfgert,fddgdfgdfg,hty
781,-34376,-25818,sdf,fg,rtfd
786,-34598,-25985,sdf,rfv,tr
791,-34820,-26152,rtuy,sdrter,sdf
796,-35042,-26319,sdfthis is ,sfds,sdf
801,-35264,-26486,fh,hfd,ytr
806,-35486,-26653,gdgdfgert,fddgdfgdfg,hty
811,-35708,-26820,sdf,fg,rtfd
816,-35930,-26987,sdf,rfv,tr
821,-36152,-27154,rtuy,sdrter,sdf
826,-36374,-27321,sdfthis is ,sfds,sdf
831,-36596,-27488,fh,hfd,ytr
836,-36818,-27655,gdgdfgert,fddgdfgdfg,hty
841,-37040,-27822,sdf,fg,rtfd
846,-37262,-27989,sdf,rfv,tr
851,-37484,-28156,rtuy,sdrter,sdf
856,-37706,-28323,sdfthis is ,sfds,sdf
861,-37928,-28490,fh,hfd,ytr
866,-38150,-28657,gdgdfgert,fddgdfgdfg,hty
871,-38372,-28824,sdf,fg,rtfd
876,-38594,-28991,sdf,rfv,tr
881,-38816,-29158,rtuy,sdrter,sdf
886,-39038,-29325,sdfthis is ,sfds,sdf
891,-39260,-29492,fh,hfd,ytr
896,-39482,-29659,gdgdfgert,fddgdfgdfg,hty
901,-39704,-29826,sdf,fg,rtfd
906,-39926,-29993,sdf,rfv,tr
911,-40148,-30160,rtuy,sdrter,sdf
916,-40370,-30327,sdfthis is ,sfds,sdf
921,-40592,-30494,fh,hfd,ytr
926,-40814,-30661,gdgdfgert,fddgdfgdfg,hty
931,-41036,-30828,sdf,fg,rtfd
936,-41258,-30995,sdf,rfv,tr
941,-41480,-31162,rtuy,sdrter,sdf
946,-41702,-31329,sdfthis is ,sfds,sdf
951,-41924,-31496,fh,hfd,ytr
956,-42146,-31663,gdgdfgert,fddgdfgdfg,hty
961,-42368,-31830,sdf,fg,rtfd
966,-42590,-31997,sdf,rfv,tr
971,-42812,-32164,rtuy,sdrter,sdf
976,-43034,-32331,sdfthis is ,sfds,sdf
981,-43256,-32498,fh,hfd,ytr
986,-43478,-32665,gdgdfgert,fddgdfgdfg,hty
991,-43700,-32832,sdf,fg,rtfd
996,-43922,-32999,sdf,rfv,tr
1001,-44144,-33166,rtuy,sdrter,sdf
1006,-44366,-33333,sdfthis is ,sfds,sdf
1011,-44588,-33500,fh,hfd,ytr
1016,-44810,-33667,gdgdfgert,fddgdfgdfg,hty
1021,-45032,-33834,sdf,fg,rtfd
1026,-45254,-34001,sdf,rfv,tr
1031,-45476,-34168,rtuy,sdrter,sdf
1036,-45698,-34335,sdfthis is ,sfds,sdf
1041,-45920,-34502,fh,hfd,ytr
1046,-46142,-34669,gdgdfgert,fddgdfgdfg,hty
1051,-46364,-34836,sdf,fg,rtfd
1056,-46586,-35003,sdf,rfv,tr
1061,-46808,-35170,rtuy,sdrter,sdf
1066,-47030,-35337,sdfthis is ,sfds,sdf
1071,-47252,-35504,fh,hfd,ytr
1076,-47474,-35671,gdgdfgert,fddgdfgdfg,hty
1081,-47696,-35838,sdf,fg,rtfd
1086,-47918,-36005,sdf,rfv,tr
1091,-48140,-36172,rtuy,sdrter,sdf
1096,-48362,-36339,sdfthis is ,sfds,sdf
1101,-48584,-36506,fh,hfd,ytr
1106,-48806,-36673,gdgdfgert,fddgdfgdfg,hty
1111,-49028,-36840,sdf,fg,rtfd
1116,-49250,-37007,sdf,rfv,tr
1121,-49472,-37174,rtuy,sdrter,sdf
1126,-49694,-37341,sdfthis is ,sfds,sdf
1131,-49916,-37508,fh,hfd,ytr
